No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
2014	Silicon carbide (hexagonal)	SiC	409-21-2	40.097	hard grn-black hex cry	2830		3.16		i H2O, EtOH	
2015	Silicon nitride	Si3N4	12033-89-5	140.284	gray refrac solid; hex	1900		3.17			
2016	Silicon monoxide	SiO	10097-28-6	44.085	blk cub cry, stable >1200			2.18			
2017	Silicon dioxide (-quartz)	SiO2	14808-60-7	60.085	col hex cryt	ans to beta quartz 57	2950	2.648		i H2O, acid; s HF	
2018	Silicon dioxide (-quartz)	SiO2	14808-60-7	60.085	col hex cry	trans to tridymite 867	2950	2.5336		i H2O, acid; s HF	
2019	Silicon dioxide (tridymite)	SiO2	15468-32-3	60.085	col hex cry	rans cristobalite 1470	2950	2.265		i H2O, acid; s HF	
2020	Silicon dioxide (cristobalite)	SiO2	14464-46-1	60.085	col hex cry	1722	2950	2.334		i H2O, acid; s HF	
2021	Silicon dioxide (vitreous)	SiO2	60676-86-0	60.085	col amorp solid	1713	2950	2.196		i H2O, acid; s HF	
2022	Silicon monosulfide	SiS	12504-41-5	60.152	yel-red hyg powder	900	940	1.85		reac H2O	
2023	Silicon disulfide	SiS2	13759-10-9	92.218	wh rhomb cry	1090	subl	2.04		reac H2O, EtOH; i bz	
2024	Silver	Ag	7440-22-4	107.868	silv metal; cub	961.78	2162	10.5			
2025	Silver azide	AgN3	13863-88-2	149.888	orth cry; exp	exp 250		4.9	0.000812		
2026	Silver subfluoride	Ag2F	1302-01-8	234.734	yel hex cry	100 dec		8.6		reac H2O	
2027	Silver(I) acetate	AgC2H3O2	563-63-3	166.912	wh needles or powder	dec		3.26	1.042		
2028	Silver(I) acetylide	Ag2C2	7659-31-6	239.757	wh powder; exp						
2029	Silver(I) arsenate	Ag3AsO4	13510-44-6	462.524	red cub cry	dec		6.657	0.00085	s NH4OH	
2030	Silver(I) acetylide	AgC2H	13092-75-6	132.897	wh powder; exp						
2031	Silver(I) bromate	AgBrO3	7783-89-3	235.77	wh tetr cry	360 dec		5.21	0.19325		
2032	Silver(I) bromide	AgBr	7785-23-1	187.772	yel cub cry	432	1502	6.47	0.00001425	i acid	
2033	Silver(I) carbonate	Ag2CO3	534-16-7	275.745	yel monocl cry	218		6.077	0.00362	s acid	
2034	Silver(I) chlorate	AgClO3	7783-92-8	191.319	wh tetr cry	230	270 dec	4.43	17.625	sl EtOH	
2035	Silver(I) chloride	AgCl	7783-90-6	143.321	wh cub cry	455	1547	5.56	0.0001925		
2036	Silver(I) chlorite	AgClO2	7783-91-7	175.32	yel cry	105 exp			0.5525		
											
2037	Silver(I) chromate	Ag2CrO4	7784-01-2	331.73	brn-red monocl cry			5.625	0.000014		
2038	Silver(I) citrate	Ag3C6H5O7	126-45-4	512.705	wh cry powder					i H2O; s HNO3	
2039	Silver(I) cyanide	AgCN	506-64-9	133.886	wh-gray hex cry	320 dec		3.95	0.0000011	i EtOH, dil acid	
2040	Silver(I) dichromate	Ag2Cr2O7	7784-02-3	431.724	red cry			4.77		sl H2O	
2041	Silver(I) diethyldithiocarbamate	Ag(C2H5)2NCS2	1470-61-7	256.14	pow	173				s py	
2042	Silver(I) fluoride	AgF	7775-41-9	126.866	yel-brn cub cry; hyg	435	1159	5.852	17220		
2043	Silver(I) hexafluoroantimonate	AgSbF6	26042-64-8	343.618	pow						
2044	Silver(I) hexafluoroarsenate	AgAsF6	12005-82-2	296.78	pow						
2045	Silver(I) hexafluorophosphate	AgPF6	26042-63-7	252.832	pow	102 dec					
2046	Silver(I) hydrogen fluoride	AgHF2	12249-52-4	146.873	hyg cry	dec					
2047	Silver(I) iodate	AgIO3	7783-97-3	282.77	wh orth cry	>200		5.53	0.05325		
2048	Silver(I) iodide	AgI	7783-96-2	234.772	yel powder; hex	558	1506	5.68	0.000003	i acid	
2049	Silver(I) lactate monohydrate	AgC3H5O3  H2O	128-00-7	214.954	gray cry powder					sl H2O, EtOH	
2050	Silver(I) metaphosphate	AgPO3	13465-96-8	186.84	grn glass	490		6.37		i H2O; s HNO3, NH4OH	
2051	Silver(I) molybdate	Ag2MoO4	13765-74-7	375.67	yel cub cry	483		6.18		sl H2O	
2052	Silver(I) nitrate	AgNO3	7761-88-8	169.873	col rhomb cry	212	440 dec	4.35	23425	sl EtOH, ace	
2053	Silver(I) nitrite	AgNO2	7783-99-5	153.874	yel needles	140 dec		4.453	0.41525	i EtOH; reac acid	
2054	Silver(I) oxalate	Ag2C2O4	533-51-7	303.755	wh cry powder	exp 140		5.03	0.00432		
2055	Silver(I) oxide	Ag2O	20667-12-3	231.735	brn-blk cub cry	200 dec		7.2	0.0025	i EtOH; s acid, alk	
2056	Silver(I) perchlorate	AgClO4	7783-93-9	207.319	col cub cry; hyg	486 dec		2.806	55825	s bz, py, os	
2057	Silver(I) perchlorate monohydrate	AgClO4  H2O	14242-05-8	225.334	hyg wh cry	43 dec			55825		
2058	Silver(I) permanganate	AgMnO4	7783-98-4	226.804	viol monocl cry	dec		4.49	0.9118	reac EtOH	
2059	Silver(I) phosphate	Ag3PO4	7784-09-0	418.576	yel powder	849		6.37	0.0064	sl dil acid	
2060	Silver(I) picrate monohydrate	AgC6H2N3O7  H2O	146-84-9	353.979	yel cry					sl H2O, EtOH; i chl, eth	
2061	Silver(I) selenate	Ag2SeO4	7784-07-8	358.69	orth cry			5.72	0.1182		
2062	Silver(I) selenide	Ag2Se	1302-09-6	294.7	gray hex needles	880		8.216		i H2O	
2063	Silver(I) selenite	Ag2SeO3	7784-05-6	342.69	needles	530	>550 dec	5.93		sl H2O; s acid	
2064	Silver(I) sulfate	Ag2SO4	10294-26-5	311.8	col cry or powder	652		5.45	0.8425		
2065	Silver(I) sulfide	Ag2S	21548-73-2	247.802	gray-blk orth powder	825		7.23		i H2O; s acid	
2066	Silver(I) sulfite	Ag2SO3	13465-98-0	295.8	wh cry	100 dec			0.000462	s acid, NH4OH	
2067	Silver(I) telluride	Ag2Te	12002-99-2	343.34	blk orth cry	955		8.4			
2068	Silver(I) tetraiodomercurate(II)	Ag2HgI4	7784-03-4	923.94	yel tetr cry	trans to red cub 40		6.1		i H2O, dil acid	
2069	Silver(I) thiocyanate	AgSCN	1701-93-5	165.952	wh powder	dec				i H2O	
2070	Silver(I) thiosulfate	Ag2S2O3	23149-52-2	327.866	wh cry	dec				sl H2O; s NH4OH	
2071	Silver(II) oxide	AgO	1301-96-8	123.867	gray powder; monocl or cub	>100 dec		7.5	0.002725	s alk; reac acid	
2072	Silver(I) tungstate	Ag2WO4	13465-93-5	463.57	yel cry	620			0.015	s HNO3, NH4OH	
2073	Silver(II) fluoride	AgF2	7783-95-1	145.865	wh or gray hyg cry	690		4.58		reac H2O	
2074	Silver(II) oxide (Ag2O2)	Ag2O2	25455-73-6	247.735	gray-blk cub cry	>100		7.44		i H2O; s acid, NH4OH	
2075	Sodium	Na	7440-23-5	22.99	soft silv met; cub	97.794	882.94	0.97		reac H2O	
2076	Sodium acetate	NaC2H3O2	127-09-3	82.034	col cry	328.2		1.528	50.425		
2077	Sodium acetate trihydrate	NaC2H3O2  3H2O	6131-90-4	136.079	col cry	58 dec		1.45	50.425	sl EtOH	
2078	Sodium aluminate	NaAlO2	1302-42-7	81.971	wh orth cry; hyg	1650		4.63		vs H2O; i EtOH	
2079	Sodium aluminum hydride	NaAlH4	13770-96-2	54.004	wh hyg solid	174 dec		1.24		i eth; s thf	
2080	Sodium aluminum sulfate dodecahydrate	NaAl(SO4)2  12H2O	10102-71-3	458.283	col cry	60		1.61	39.72	i EtOH	
2081	Sodium amide	NaNH2	7782-92-5	39.013	wh-grn orth cry	210	500 dec	1.39		reac H2O	
2082	Sodium ammonium phosphate tetrahydrat	NaNH4HPO4  4H2O	13011-54-6	209.069	monocl cry	80 dec		1.54		s H2O; i EtOH	
2083	Sodium arsenite	NaAsO2	7784-46-5	129.911	wh-gray hyg powder			1.87		vs H2O; i EtOH	
2084	Sodium azide	NaN3	26628-22-8	65.01	col hex cry	300 dec		1.846	40.82	sl EtOH; i eth	
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
2085	Sodium borohydride	NaBH4	16940-66-2	37.833	wh cub cry; hyg	400 dec		1.07	5520	reac EtOH	
2086	Sodium bromate	NaBrO3	7789-38-0	150.892	col cub cry	381		3.34	39.425	i EtOH	
2087	Sodium bromide	NaBr	7647-15-6	102.894	wh cub cry	747	1390	3.2	94.625	s EtOH	
2088	Sodium bromide dihydrate	NaBr 2H2O	13466-08-5	138.925	wh cry	36 dec		2.18	94.625	sl EtOH	
2089	Sodium carbonate	Na2CO3	497-19-8	105.989	wh hyg powder	858.1		2.54	30.725	i EtOH	
2090	Sodium carbonate decahydrate	Na2CO3  10H2O	6132-02-1	286.142	col cry	34 dec		1.46	30.725	i EtOH	
2091	Sodium carbonate monohydrate	Na2CO3  H2O	5968-11-6	124.005	col orth cry	100 dec		2.25	30.725	i EtOH	
2092	Sodium chlorate	NaClO3	7775-09-9	106.441	col cub cry	248	>300 dec	2.5	10025	sl EtOH	
2093	Sodium chloride	NaCl	7647-14-5	58.443	col cub cry	800.7	1465	2.17	36.025	sl EtOH	
2094	Sodium chlorite	NaClO2	7758-19-2	90.442	wh hyg cry	180 dec			6417		
2095	Sodium chromate	Na2CrO4	7775-11-3	161.974	yel orth cry	792		2.72	87.625	sl EtOH	
2096	Sodium chromate tetrahydrate	Na2CrO4  4H2O	10034-82-9	234.035	yel hyg cry	dec			87.625	sl EtOH	
2097	Sodium citrate dihydrate	Na3C6H5O7  2H2O	6132-04-3	294.099	wh cry	150 dec				vs H2O; i EtOH, eth	
2098	Sodium cyanate	NaCNO	917-61-3	65.007	col needles	550		1.89		s H2O; sl EtOH; i eth	
2099	Sodium cyanide	NaCN	143-33-9	49.008	wh cub cry; hyg	563		1.6	58.22	sl EtOH	
2100	Sodium cyanoborohydride	NaBH3(CN)	25895-60-7	62.843	wh hyg powder	240 dec		1.12		vs H2O; s thf; sl EtOH; i bz, eth	
2101	Sodium dichromate	Na2Cr2O7	10588-01-9	261.968	red hyg cry	357	400 dec		18725		
2102	Sodium dihydrogen phosphate	NaH2PO4	7558-80-7	119.977	col mono cry	200 dec			94.925		
2103	"Sodium dihydrogen phosphate
monohydrate"	NaH2PO4  H2O	10049-21-5	137.993	wh hyg cry	100 dec			94.925	i EtOH	
2104	Sodium dihydrogen phosphate dihydrate	NaH2PO4  2H2O	13472-35-0	156.008	col orth cry	60 dec		1.91	94.925	i EtOH	
2105	"Sodium dihydrogen hypophosphate
hexahydrate"	Na2H2P2O6  6H2O	7782-95-8*	314.031	mono plates	110 dec		1.849	2.025	i EtOH	
2106	Sodium dihydrogen pyrophosphate	Na2H2P2O7	7758-16-9	221.939	wh powder	220 dec		1.9		s H2O	
2107	Sodium dithionate	Na2S2O4	7775-14-6	174.11	gray-wh pow	52 dec			24.12	sl EtOH	
2108	Sodium dithionate dihydrate	Na2S2O6  2H2O	7631-94-9*	242.139	col orth cry	110 dec		2.19	15.12	i EtOH	
2109	Sodium ethanolate	NaC2H5O	141-52-6	68.05	wh-yel hyg pow					reac H2O; s EtOH	
2110	Sodium ferricyanide monohydrate	Na3Fe(CN)6  H2O	14217-21-1*	298.933	red hyg cry					s H2O; i EtOH	
2111	Sodium ferrocyanide decahydrate	Na4Fe(CN)6  10H2O	13601-19-9	484.061	yel monocl cry	50 dec		1.46	2020	i os	
2112	Sodium fluoride	NaF	7681-49-4	41.988	col cub or tetr cry	996	1704	2.78	4.1325	i EtOH	
2113	Sodium tetrafluoroborate	NaBF4	13755-29-8	109.795	wh orth prisms	384		2.47	10820	sl EtOH	
2114	Sodium fluorophosphate	Na2PO3F	10163-15-2	143.95	pow						
2115	Sodium formate	NaCHO2	141-53-7	68.008	wh hyg cry	257.3	dec	1.92	94.925	sl EtOH	
2116	Sodium germanate	Na2GeO3	12025-19-3	166.59	wh mono hyg cry	1083		3.31			
2117	"Sodium hexabromoplatinate(IV)
hexahydrate"	Na2PtBr6  6H2O	39277-13-9	828.57	cry						
2118	Sodium hexachloroiridate(IV) hexahydrate	Na2IrCl6  6H2O	19567-78-3	559.004	cry	600 dec					
2119	Sodium hexachloroplatinate(IV)	Na2PtCl6	16923-58-3	453.77	yel hyg cry				5316	s EtOH	
2120	Sodium hexachloroplatinate(IV) hexahydra	eNa2PtCl6  6H2O	16923-58-3	561.87	yel cry	110 dec		2.5	5316	s EtOH; i eth	
2121	Sodium hexafluoroaluminate	Na3AlF6	13775-53-6	209.941	col monocl cry; trans cub 560	1009		2.97		i H2O	
2122	Sodium hexafluoroantimonate	NaSbF6	16925-25-0	258.74	wh cub cry			3.375	12920	s EtOH, ace	
2123	Sodium hexafluorophosphate monohydrat	NaPF6  H2O	20644-15-9	185.969	col orth cry			2.369	1030	s EtOH, MeOH, ace	
2124	Sodium hexafluorosilicate	Na2SiF6	16893-85-9	188.056	wh hex cry	dec		2.7	0.672	i EtOH	
2125	Sodium hexanitrocobaltate(III)	Na3Co(NO2)6	14649-73-1	403.935	yel-brn cry pow					vs H2O; sl EtOH	
2126	Sodium hydride	NaH	7646-69-7	23.998	silv cub cry; flam	425 dec		1.39		reac H2O, EtOH	
2127	Sodium hydrogen arsenate	Na2HAsO4	7778-43-0	185.908	wh pow	195 dec			5120	sl EtOH	
											
2128	Sodium hydrogen arsenate heptahydrate	Na2HAsO4  7H2O	10048-95-0	312.014	wh monocl cry	50 dec		1.87	5120	sl EtOH	
2129	Sodium hydrogen carbonate	NaHCO3	144-55-8	84.007	wh monocl cry	50 dec		2.2	10.325	i EtOH	
2130	Sodium hydrogen fluoride	NaHF2	1333-83-1	61.995	wh hex cry	>160 dec		2.08	3.252		
2131	Sodium hydrogen phosphate	Na2HPO4	7558-79-4	141.959	wh hyg powder			1.7	11.825		
2132	Sodium hydrogen phosphate dodecahydra	eNa2HPO4  12H2O	10039-32-4	358.143	col cry	35 dec		1.5	11.825	i EtOH	
2133	Sodium hydrogen phosphate heptahydrate	Na2HPO4  7H2O	7782-85-6	268.066	col cry			1.7	11.825	i EtOH	
2134	Sodium hydrogen sulfate	NaHSO4	7681-38-1	120.062	wh hyg cry	315		2.43	28.525		
2135	Sodium hydrogen sulfate monohydrate	NaHSO4  H2O	10034-88-5	138.077	wh monocl cry			2.1	28.525	reac EtOH	
2136	Sodium hydrogen sulfide	NaHS	16721-80-5	56.064	col rhomb cry	350		1.79		s H2O, EtOh, eth	
2137	Sodium hydrogen sulfide dihydrate	NaHS  2H2O	16721-80-5	92.095	yel hyg needles	55 dec				vs H2O, EtOH, eth	
2138	Sodium hydrogen sulfite	NaHSO3	7631-90-5	104.062	wh cry			1.48		s H2O; sl EtOH	
2139	Sodium hydroxide	NaOH	1310-73-2	39.997	wh orth cry; hyg	323	1388	2.13	10025	s EtOH, MeOH	
2140	Sodium hypochlorite	NaClO	7681-52-9	74.442	stable in aq soln	anh form exp			79.925		
2141	Sodium hypochlorite pentahydrate	NaOCl  5H2O	10022-70-5	164.518	pale grn orth cry	18		1.6		s H2O	
2142	Sodium iodate	NaIO3	7681-55-2	197.892	wh orth cry	dec		4.28	9.4725	i EtOH	
2143	Sodium iodide	NaI	7681-82-5	149.894	wh cub cry; hyg	660	1304	3.67	18425	s EtOH, ace	
2144	Sodium bismuthate	NaBiO3	12232-99-4	279.968	yel-brn hyg cry					i cold H 2O, reac acid	
2145	Sodium metabisulfite	Na2S2O5	7681-57-4	190.109	wh cry				66.725	sl EtOH	
2146	Sodium metaborate	NaBO2	7775-19-1	65.8	wh hex cry	966	1434	2.46		s H2O	
2147	Sodium metasilicate	Na2SiO3	6834-92-0	122.064	wh amorp solid; hyg	1089		2.61		s cold H2O; reac hot H2O	
2148	Sodium molybdate	Na2MoO4	7631-95-0	205.92	col cub cry	687		3.5	65.025		
2149	Sodium molybdate dihydrate	Na2MoO4  2H2O	10102-40-6	241.95	cry powder	100 dec		3.5	65.025		
2150	Sodium niobate	NaNbO3	12034-09-2	163.894	rhomb cry	1422		4.55		i H2O	
2151	Sodium nitrate	NaNO3	7631-99-4	84.995	col hex cry; hyg	307		2.26	91.225	sl EtOH, MeOH	
2152	Sodium nitrite	NaNO2	7632-00-0	68.996	wh orth cry; hyg	271	>320 dec	2.17	84.825	sl EtOH; reac acid	
2153	Sodium nitroprusside dihydrate	Na2[Fe(CN)5NO]  2H2O	13755-38-9	297.949	red cry			1.72	4016	sl EtOH	
2154	Sodium orthovanadate	Na3VO4	13721-39-6	183.909	col hex prisms	860				s H2O; i EtOH	
2155	Sodium oxalate	Na2C2O4	62-76-0	133.999	wh powder	250 dec		2.34	3.6125	i EtOH	
2156	Sodium oxide	Na2O	1313-59-3	61.979	wh amorp powder	1132 dec		2.27		reac H2O	
2157	Sodium perborate tetrahydrate	NaBO3  4H2O	7632-04-4	153.861	wh cry	60 dec				reac H2O	
2158	Sodium perchlorate	NaClO4	7601-89-0	122.441	wh orth cry; hyg	480 dec		2.52	20525		
2159	Sodium perchlorate monohydrate	NaClO4  H2O	7791-07-3	140.456	wh hyg cry	130 dec		2.02	20525		
2160	Sodium periodate	NaIO4	7790-28-5	213.892	wh tetr cry	300 dec		3.86	14.425	s acid	
2161	Sodium periodate trihydrate	NaIO4  3H2O	13472-31-6	267.938	wh hex cry	175 dec		3.22	14.425		
2162	Sodium permanganate trihydrate	NaMnO4  3H2O	10101-50-5*	195.972	red-blk hyg cry	170 dec		2.47	14420	reac EtOH	
2163	Sodium peroxide	Na2O2	1313-60-6	77.979	yel hyg powder	675		2.805		reac H2O	
2164	Sodium perrhenate	NaReO4	13472-33-8	273.195	cry	300		5.39			
2165	Sodium persulfate	Na2S2O8	7775-27-1	238.107	wh hyg cry					vs H2O; reac EtOH	
2166	Sodium phosphate dodecahydrate	Na3PO4  12H2O	10101-89-0	380.124	col hex cry	75		1.62	14.425	i EtOH	
2167	Chlorinated trisodium phosphate	Na3PO4  NaOCl	56802-99-4	238.383	wh cry				2525		
2168	Sodium phosphinate	NaH2PO2	7681-53-0	87.979	wh cry				10025		
2169	Sodium phosphinate monohydrate	NaH2PO2  H2O	10039-56-2	105.994	col hyg cry	310 dec			10025	s EtOH	
2170	Sodium potassium tartrate tetrahydrate	NaKC4H4O6  4H2O	304-59-6	282.22	wh cry	70 dec	anh at 130	1.79		vs H2O; i EtOH	
2171	Sodium pyrophosphate	Na4P2O7	7722-88-5	265.902	col cry	988		2.53	7.0925		
2172	Sodium selenate	Na2SeO4	13410-01-0	188.94	col orth cry				58.525		
2173	Sodium selenate decahydrate	Na2SeO4  10H2O	10102-23-5	369.09	wh cry			1.61	58.525		
2174	Sodium selenide	Na2Se	1313-85-5	124.94	amorp solid	>875		2.62		reac H2O	
2175	Sodium selenite	Na2SeO3	10102-18-8	172.94	wh tetr cry				89.825	i EtOH	
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
2176	Sodium stearate	NaC18H35O2	822-16-2	306.46	wh pow					sl H2O, EtOH; vs hot H2O	
2177	Sodium succinate hexahydrate	Na2C4H4O4  6H2O	150-90-3	270.144	cry pow	120 dec			20	i EtOH	
2178	Sodium sulfate	Na2SO4	7757-82-6	142.044	wh orth cry or powder	884		2.7	28.125	i EtOH	
2179	Sodium sulfate decahydrate	Na2SO4  10H2O	7727-73-3	322.197	col monocl cry	32 dec		1.46	28.125	i EtOH	
2180	Sodium sulfide	Na2S	1313-82-2	78.046	wh cub cry; hyg	1172		1.856	20.625	sl EtOH; i eth	
2181	Sodium sulfide nonahydrate	Na2S  9H2O	1313-84-4	240.184	wh-yel hyg cry	50 dec		1.43	20.625	sl EtOH; i eth	
2182	Sodium sulfide pentahydrate	Na2S  5H2O	1313-83-3	168.122	col orth cry	120 dec		1.58	20.625	s EtOH; i eth	
2183	Sodium sulfite	Na2SO3	7757-83-7	126.044	wh hex cry	dec		2.63	30.725	i EtOH	
2184	Sodium sulfite heptahydrate	Na2SO3  7H2O	10102-15-5	252.151	wh monocl cry; unstable			1.56	30.725	sl EtOH	
2185	Sodium superoxide	NaO2	12034-12-7	54.989	yel cub cry	552		2.2		reac H2O	
2186	Sodium tellurate	Na2TeO4	10101-83-4	237.58	wh powder				0.8		
2187	Sodium tellurite	Na2TeO3	10102-20-2	221.58	wh rhomb prisms					sl H2O	
2188	Sodium tetraborate	Na2B4O7	1330-43-4	201.22	col gl solid; hyg	743	1575	2.4	3.1725	sl MeOH	
2189	Sodium tetraborate decahydrate	Na2B4O7  10H2O	1303-96-4	381.373	wh monocl cry	75 dec		1.73	3.1725	i EtOH	
2190	Sodium tetraborate pentahydrate	Na2B4O7  5H2O	12045-88-4	291.296	hex cry	dec		1.88	3.1725		
2191	Sodium tetraborate tetrahydrate	Na2B4O7  4H2O	12045-87-3	273.281	wh monocl cry			1.95	3.1725		
2192	Sodium tetrachloroaluminate	NaAlCl4	7784-16-9	191.783	orth cry			2.01		s H2O	
2193	Sodium tetrachloroaurate(III) dihydrate	NaAuCl4  2H2O	13874-02-7	397.799	oran-yel rhom cry	100 dec			15010	s EtOH, eth	
2194	Sodium tetrachloropalladate(II) trihydrate	Na2PdCl4  3H2O	13820-53-6	348.26	brn-red hyg cry					vs H2O; s EtOH	
2195	Sodium tetrachloroplatinate(II) tetrahydrate	Na2PtCl4  4H2O	10026-00-3	454.93	red prisms	100				s H2O, EtOH	
2196	Sodium tetrafluoroberyllate	Na2BeF4	13871-27-7	130.986	orth cry	575		2.47		sl H2O	
2197	Sodium thiocyanate	NaSCN	540-72-7	81.074	col hyg cry	287			15125		
2198	Sodium thiophosphate dodecahydrate	Na3PO3S  12H2O	10101-88-9	396.191	hex hyg leaflets	60				vs hot H2O	
2199	Sodium thiosulfate	Na2S2O3	7772-98-7	158.11	col mono cry	100 dec		1.69	76.425	i EtOH	
2200	Sodium thiosulfate pentahydrate	Na2S2O3  5H2O	10102-17-7	248.186	col cry	50 dec		1.69	76.425	i EtOH	
2201	Sodium trimetaphosphate	Na3(PO3)3	7785-84-4	305.885	wh cry			2.49	22		
2202	Sodium trimetaphosphate hexahydrate	Na3(PO3)3  6H2O	7785-84-4	413.976	tricl-rhom hyg prisms	53		1.786	22	i EtOH	
2203	Sodium tripolyphosphate	Na5P3O10	7758-29-4	367.864	wh hyg pow	622			2025		
2204	Sodium tungstate	Na2WO4	13472-45-2	293.82	wh rhom cry	695		4.18	74.225		
2205	Sodium tungstate dihydrate	Na2WO4  2H2O	10213-10-2	329.85	wh orth cry	100 dec		3.25	74.225	i EtOH	
2206	Sodium uranate(VI) monohydrate	Na2U2O7  H2O	13721-34-1	652.049	yel pow					i H2O; s acid	
2207	Sodium vanadate(V)	NaVO3	13718-26-8	121.93	col mono prisms	630			2125		
2208	Sodium vanadate(V) tetrahydrate	NaVO3  4H2O	13718-26-8	193.992	yel-wh cry pow				2125		
2209	Strontium	Sr	7440-24-6	87.62	silv-wh metal; cub	777	1382	2.64		reac H2O; s EtOH	
2210	Strontium arsenite tetrahydrate	Sr(AsO2)2  4H2O	10378-48-0	373.52	wh pow					sl H2O, EtOH; sol dil acid	
2211	Strontium bromate monohydrate	Sr(BrO3)2  H2O	14519-18-7	361.44	yel hyg mono cry	120 dec		3.773	39.025		
2212	Strontium bromide	SrBr2	10476-81-0	247.43	wh tetr cry	657		4.216	10725		
2213	Strontium bromide hexahydrate	SrBr2  6H2O	7789-53-9	355.52	col hyg cry	88 dec			10725	s EtOH; i eth	
2214	Strontium carbide	SrC2	12071-29-3	111.64	blk tetr cry	>1700		3.19		i H2O	
2215	Strontium carbonate	SrCO3	1633-05-2	147.63	wh orth cry; hyg	1494		3.5	0.000342	s dil acid	
2216	Strontium chlorate	Sr(ClO3)2	7791-10-8	254.52	col cry	120 dec		3.15	17625	sl EtOH	
2217	Strontium chloride	SrCl2	10476-85-4	158.53	wh cub cry; hyg	874	1250	3.052	54.725		
2218	Strontium chloride hexahydrate	SrCl2  6H2O	10025-70-4	266.62	col hyg cry	100 dec		1.96	54.725	s EtOH	
2219	Strontium chromate	SrCrO4	7789-06-2	203.61	yel monocl cry	dec		3.9	0.1062	s dil acid	
2220	Strontium cyanide dihydrate	Sr(CN)2  4H2O		211.72	wh hyg cry	dec				vs H2O	
											
2221	Strontium ferrocyanide pentadecahydrate	SrFe(CN)6  15H2O		569.8	yel mono cry				50		
2222	Strontium fluoride	SrF2	7783-48-4	125.62	wh cub cry or powder	1477	2460	4.24	0.02125	s dil acid	
2223	Strontium formate	Sr(CHO2)2	592-89-2	177.66	wh cry	71.9		2.693	9.1		
2224	Strontium formate dihydrate	Sr(CHO2)2  2H2O	6160-34-5	213.69	col rhom cry	100 dec		2.25	9.137	i EtOH, eth	
2225	Strontium hexaboride	SrB6	12046-54-7	152.49	blk cub cry	2235		3.39		i H2O; s HNO3	
2226	Strontium hydride	SrH2	13598-33-9	89.64	orth cry	1050		3.26		reac H2O	
2227	Strontium hydroxide	Sr(OH)2	18480-07-4	121.64	col orth cry; hyg	535	710 dec	3.625	2.2525		
2228	Strontium iodate	Sr(IO3)2	13470-01-4	437.43	tricl cry			5.045	0.16525		
2229	Strontium iodide	SrI2	10476-86-5	341.43	wh hyg cry	538	1773 dec	4.55	17725		
2230	Strontium iodide hexahydrate	SrI2  6H2O	73796-25-5	449.52	wh-yel hex cry; hyg	120 dec		4.4	17725	s EtOH	
2231	Strontium niobate	SrNb2O6	12034-89-8	369.43	monocl cry	1225		5.11		i H2O	
2232	Strontium nitrate	Sr(NO3)2	10042-76-9	211.63	wh cub cry	570	645	2.99	80.225	sl EtOH, ace	
2233	Strontium nitride	Sr3N2	12033-82-8	290.87	refrac solid	1200				reac H2O; s HCl	
2234	Strontium nitrite	Sr(NO2)2	13470-06-9	179.63	wh-yel hyg needles	240 dec		2.8	72.13		
2235	Strontium oxide	SrO	1314-11-0	103.62	col cub cry	2531		5.1		reac H2O	
2236	Strontium perchlorate	Sr(ClO4)2	13450-97-0	286.52	col hyg cry				30625	s EtOH, MeOH	
2237	Strontium permanganate trihydrate	Sr(MnO4)2  3H2O		379.54	pur cub cry	175 dec		2.75	25018		
2238	Strontium peroxide	SrO2	1314-18-7	119.62	wh tetr cry; unstable	215 dec		4.78		reac H2O	
2239	Strontium phosphate	Sr3(PO4)2	7446-28-8	452.8	wh powder				0.0000112	s acid	
2240	Strontium selenate	SrSeO4	7446-21-1	230.58	orth cry			4.25	0.1152	s hot HCl	
2241	Strontium selenide	SrSe	1315-07-7	166.58	wh cub cry	1600		4.54			
2242	Strontium orthosilicate	Sr2SiO4	13597-55-2	267.32	orth cry			4.5			
2243	Strontium silicide	SrSi2	12138-28-2	143.79	silv-gray cub cry	1100		3.35			
2244	Strontium sulfate	SrSO4	7759-02-6	183.68	wh orth cry	1606		3.96	0.013525	i EtOH; sl acid	
2245	Strontium sulfide	SrS	1314-96-1	119.69	gray cub cry	2226		3.7		sl H2O; s acid	
2246	Strontium sulfite	SrSO3	13451-02-0	167.68	col cry	dec			0.001525	s H2SO4, HCl	
2247	Strontium telluride	SrTe	12040-08-3	215.22	wh cub cry			4.83			
2248	Strontium thiosulfate pentahydrate	SrS2O3  5H2O	15123-90-7	289.83	mono needles	100 dec		2.17	36.325	i EtOH	
2249	Strontium titanate	SrTiO3	12060-59-2	183.49	wh cub cry	2080		5.1		i H2O	
2250	Strontium tungstate	SrWO4	13451-05-3	335.46	col tetr cry	dec		6.187	0.1415	i EtOH	
